orig,new
BEL,BE
BE,BE
Belgium,BE
DEN,DK
DNK,DK
dk,DK
Denmark,DK
DK,DK
EST,EE
Estonia,EE
EE,EE
ENG,UKE
UKE,UKE
UK (England),UKE
EN,UKE
ES-AZTI,ES
ESP,ES
ES,ES
Spain,ES
FRA,FR
France,FR
FR,FR
GER,GE
DE,GE
DEU,GE
Germany,GE
GE,GE
UK (Channel Island Guernsey),GG
IRE,IE
IE,IE
Ireland,IE
UK (Isle of Man),IM
UK (Channel Island Jersey),JE
LTU,LT
Lithuania,LT
LT,LT
UKN,UKN
NIR,UKN
UK(Northern Ireland),UKN
NI,UKN
NLD,NL
nld,NL
Netherlands,NL
NL,NL
NOR,NO
Norway,NO
NO,NO
POL,PO
Poland,PO
Poland,PO
PO,PO
PRT,PT
Portugal,PT
PT,PT
UKS,UKS
SCO,UKS
UK(Scotland),UKS
SC,UKS
SWE,SE
SE,SE
Sweden,SE
LV,LV
