"stock","single stock advice","fixedEffort","min","max","prev","had.27.7b-k"
"cod.27.7e-k",0,341.461151959552,112.304428143663,2110.62033345003,287.008130607295,285.577984279641
"had.27.7b-k",18382,7375.13119797126,1301.56703428366,57736.9252278143,4926.31251358427,4299.13713358102
"meg.27.7b-k8abd",19184,6368.06128365466,5813.13591076354,105467.970603317,6235.28777707519,6374.25823113044
"mon.27.78abd",34579,10834.8859012727,5222.72628445444,121998.240046703,8721.18692148694,9035.81638665469
"nep.fu.16",3290,0.298055283339462,0,0.306104060553545,0.232017675974922,0.232306756582992
"nep.fu.17",508,0,0,0,0,0
"nep.fu.19",595,0.317321289786056,0,0.604138784404148,0.542628720412959,0.604138784404148
"nep.fu.2021",1710,8.32782938733693,0,14.5380039603518,10.9254264302286,14.2346806011407
"nep.fu.22",1560,0,0,0,0,0
"nep.out.7",150,107.703084180744,0,164.530430298107,85.3902214801288,28.7752325066239
"sol.27.7fg",1413,31.4199998253586,30.6611718658837,31.6867315216796,31.3935804112855,31.5415889412469
"whg.27.7b-ce-k",5261,4858.56377680957,0.173103408136726,5614.49696372984,3716.78938677247,3730.9746678233
